s-hash,artist,song,count
787c7376eb57a62eb23339853ccb9d4bfdedf5696fae746a5599d68d7a3f13d2,M.I.A.,Jimmy,34
1f098338ec5ea047a2069746d4425f5998eff3b05ca392588d94b662e90bc5b1,"Carpark North","Shall we be grateful",41
32ae344eb025d47bde67368b5dc2bd5209e23ef580f8ed7fffae43280a930e31,"X3m Feat. Pandora","Drottningen av Åland",73
7c4175ed273319a2f987bf16e57dc54e6da868ce9597e0e91e80274ccd01f85f,"Avril Lavigne","Here's to never growing up",114
5c4dc414aa055028988af83ea05c718ca6a5d39467c445afa5241d2bcf2587dd,"2pac & Dr. Dre","California Love",14
ce6249958bc15b3a7d9e3f74f6f991c832c2b7dd120af305584a052fe11c1942,"Kelly Clarkson","People like us",89
c008a725a11e92f1f2f007a25f69d47813f30e6004fb63f1084f55d117f318ed,Haim,"Don't Save Me",39
883dda84568b705a1d75852e7cb7623d2fc03dd0947a5f6b94186fbab0a6bfe9,"Redrama & A.j. Mclean",Clouds,332
c2473ae88d1ebed8667ba14459caec141e68c6dc641899796b70a7232df61ec1,"Linkin Park","In the end",40
c9f7ffa5bcdba52e559b576aa79f6425f4bdd3be9ffc16b82d0822ee38f1deca,"Lana Del Rey","Young and beautiful",54
b4493f643b4909e7451613c02efcfb6dc61d7a971d59f4de0eb937143b8ad44a,Familjen,"Det var jag",51
14f30173bcca4d9f8b5e87a593bc414903dba1ce928b9a39558ca900f6047ec4,"Classified & David Myles","Inner ninja",69
8eed041405539967939c59c379b43fecf170a086b11ffc1b117bdb56ddae6dff,Ronya,Hyperventilating,26
abf6b9ed5821c1effd3f5871d71ed7ffb9caa61945fc06bed6bb3811d25cd24d,"Pink & Nate Ruess","Just give me a reason",195
30dc3c26d2d99c7fc01dec17a49b44b0d73681704bfffb64cd94e923065625cb,"Carly Rae Jepsen","Tonight i am getting over you",77
991c3c0063eec2835192fb1927b7405e1d0eca0f8f4a5f376a0d2430a2bb069a,"Frank Turner",Recovery,43
9933fc9dcaba2be6cfb2710f10d4cbea0c5e73f2110caa76a1180a3a427e07fd,Him,"Killing loneliness",27
30630e1e5a7ffe79ced7d5e626cdf5508f5372355f99546f642aaa7e470bb091,"Mange Schmidt",Ledig,74
418f1610bb7063a95f6ede16bab06ff979dbd8bf624db80f47838f4cb9bea041,"Daft Punk & Pharrell Williams","Get lucky",264
bc13f276f7c9ee45be29e5debc120d1956277635be1668786143fabbd1b4743a,"Katy Perry","Hot 'n cold",66
fdca42f6ba06c72d6e42763d462a8148aac9bf1c90596e5bf649f6275b0a4968,"Macklemore & Ryan Lewis & Ray Dalton","Can't hold us",251
c148145d99ed129e01f10047086382d5d5b086eba7f1367364853b632554bd35,Newkid,"Jag gråter bara i regnet",83
993256f3181498f68a6580a0a6d65e65a1afb8b97e0cd1223978d85a9036a540,"Leona Lewis","Bleeding love",92
3d9cf071559dd78d926887a4bf18f1b32d27676554950bc0cd977c5226a8781a,"Rihanna & David Guetta","Right now",135
bee793e991c0c564ac981ae51070ebfb54d170a233b94203b66ae1958ce022bf,Blur,Parklife,9
a2fbafdb264eda7eabb2889a9ce632c46a7096c9eefb8067412c26f727a0ca7e,"Jennifer Lopez & Pitbull","Live It Up",115
73d048b58aa08f8ba27bbb1b7296269a704d2cc97e482257b3a9917a343d9c17,Shinedown,"Second chance",94
e3a7e494223876b00bee35657c6fd21fc77e84c3c0a7c093f6a73597fd964390,"Arash & Sean Paul","She makes me go",34
b8668f63da8cbcdf45aa76ad73cd545270934b2a1835efd237828a458775633c,"Isac Elliot","First kiss",174
ed108125a6428e093e2e03a6a8415e223ed585effc448c7cc944180d6c68026e,"Lorentz & M. Sakarias & Duvchi","Garbo, Astrid och Taube",116
3ec788b747db4a78d8a394c153956fba14100e67ae41d87491803cc9acea63fa,"Dani M & Jacco",Naiv,59
4069710235b5f42169ea8ef31bb0ebbf638f35fa038c6db38188018428f75621,"Marina & The Diamonds","How to be a heartbreaker",88
3f36e3870c8b71050897643e5e87676bf22ba27270303dcf2d49af21f474cdc4,"Satin Circus",Emma,235
569785f520dc5706c5ea90eab5d857ec5ef4430240830ff15d98547294105f75,"Scouting For Girls","Elvis ain't dead",30
94c4617e377454fe5353d76a3bdb3459258927da245b3df8879912ea9e84c036,"Krista Siegfrids",Amen!,107
eca04050828e2bf0fbcf58ab8ef5e2d94ff956cd58a945dbc871933b233c40f6,Rammstein,Pussy,19
