sa-hash,a-hash,artist,song,count
56e9ec5740dbf7d291df83d6f9d91398086f303dc96a3999c0ee5707a942ad0b,28827273b54b0e21f55bd5f15f1c91e38979f1dc63c1cb1dae30cd21cccab0cc,"James Hunter","People gonna talk",1
1db2f568df28951c4beb0d3e936a8727a45b9c824b5475839905ebbfa85beeab,a00ed2d7a35499efd88e553ca5b62b6c6d65e840ddecb5eecbad07f8637f3a75,Milow,"You and me (in my pocket)",21
66929fb78080807ca14fe7a40e124a98243597e75439997a4a25a480919668a1,d2724ac999f01836232cb872b4f75644b9655ea39930a439b0aa3fd6dd25c516,"Niklas Strömstedt & Anders Glenmark","Blåa ögons hav",6
5772e1e27b9b2e401e0fd0ddbb1703bf763b7d65f440ceb2a9b7b573c1d12d9d,f668213425711610ec64bc73383de9a74f7fd6283192852d1a208e2bced46bd3,"Cat Stevens","Morning has broken",10
6a4c16b1858dcebd9d55041cd7f4b9c0f70ad6e35971ebf26d0510fede371744,314e01efb4097e2743c31c79436098c04c93475f4aa6b1f3a4bd035d55914071,"Lisa Nilsson","Vad du ser är vad du får",24
2867032a113112f86cec9e21ae62ef96241d223ea8dbf78b08b1dbdea1f7cf96,dc891006ed76aa444ebc35d3e234f12edc710cc77ea6bdf606ad37e1ac652e9e,Tlc,"No scrubs",24
ced81f87acc8f6843a69c8a32db13ba50f47aabb49172d41582c32febff4942b,63816f5efe57f3471703d5daab8b960f6dab66dfe3413c207719403df9bf35c1,"Diana Ross & The Supremes",Reflections,1
7434fd068339c5039a2b7c02aed7400ba05292a241a05410a89e5378b528520b,1157606ee47522a84d4f159b91baed74838b3859982e8a6655211031a82bca9b,Foundations,"Baby now that I've found you",3
c9a2c20c8c4847567fff3283cea60cb4f55c8016962381bfe366054ef8f08bb8,f6fc2a30478ffcb242fb50a0142b7f6cab7d4c1be3256399556d68d69a839f32,"Simply Red",Stars,21
c1765a9cb33175b46cfd9556983efa47a341dc8d653a835fd02b19589a874d74,bc35c31b4354b2471342d12e9b878e81f4945051140a43d55f550b68dddef2ed,"Melissa Horn & Lars Winnerbäck","Som jag hade dig förut",15
df0ab6a380babe481608275a535506acdd48176d5712e7daed00ec9ac3a26b6f,a29161facb679dfc803bad6b15afaef3650741759635069f8b979ef94adf4673,"The Swinging Blue Jeans","Hippy hippy shake",7
