sa-hash,a-hash,artist,song,count
787c7376eb57a62eb23339853ccb9d4bfdedf5696fae746a5599d68d7a3f13d2,503ecd0c933eeb6799022adc33d95d461d8b7acab9bb4ad5821abdb23814263a,M.I.A.,Jimmy,34
1f098338ec5ea047a2069746d4425f5998eff3b05ca392588d94b662e90bc5b1,819d4ad0e4b9bbba175cf6ab0d9b4e11c2a3ab25ddfd2de7aad08b460952a5f2,"Carpark North","Shall we be grateful",41
32ae344eb025d47bde67368b5dc2bd5209e23ef580f8ed7fffae43280a930e31,4159199191bd9bce862612ee95b94959c4cb64ef1a6eb8378b65204247c8bd56,"X3m Feat. Pandora","Drottningen av Åland",80
7c4175ed273319a2f987bf16e57dc54e6da868ce9597e0e91e80274ccd01f85f,cce7964293ba4920950227f2a157991c83024d7baa6052d41cfde796e5eb025c,"Avril Lavigne","Here's to never growing up",114
5c4dc414aa055028988af83ea05c718ca6a5d39467c445afa5241d2bcf2587dd,9aecec758a8465899e95f3bd63399799f533745a4197ed937b7a392b49417513,"2pac & Dr. Dre","California Love",14
ce6249958bc15b3a7d9e3f74f6f991c832c2b7dd120af305584a052fe11c1942,2a1e405fdaf1ea61c49d9ddf6dfa417ff818673f1ac5516f280f8bcab08e2f4f,"Kelly Clarkson","People like us",89
c008a725a11e92f1f2f007a25f69d47813f30e6004fb63f1084f55d117f318ed,d18dda18314c8db9d771b3e43d33ab968a3443d82b3f35a35681d229eedcc3c1,Haim,"Don't Save Me",39
883dda84568b705a1d75852e7cb7623d2fc03dd0947a5f6b94186fbab0a6bfe9,9dc2fb9a11422ee029857634fa7da1c0c8a635be9b0c3ac0c088f145f132089a,"Redrama & A.j. Mclean",Clouds,340
c2473ae88d1ebed8667ba14459caec141e68c6dc641899796b70a7232df61ec1,0bafe5e4e2209c8cfd630534622446577cef72efdd80a6d44a6e426a718a8b64,"Linkin Park","In the end",40
c9f7ffa5bcdba52e559b576aa79f6425f4bdd3be9ffc16b82d0822ee38f1deca,0bf18fd271f7a7d9f4c52373a642986722acedcd9e03ef383a765994c8e83910,"Lana Del Rey","Young and beautiful",54
b4493f643b4909e7451613c02efcfb6dc61d7a971d59f4de0eb937143b8ad44a,f70fd513de750d11feafcd936f973ddace85ccf355650fb615a44d0d03e47aa5,Familjen,"Det var jag",51
14f30173bcca4d9f8b5e87a593bc414903dba1ce928b9a39558ca900f6047ec4,3feb727c5b962ea908fd23cfe205e2a8473fa03787857b1ab71410954ee62695,"Classified & David Myles","Inner ninja",69
8eed041405539967939c59c379b43fecf170a086b11ffc1b117bdb56ddae6dff,13f44c67c602def3a92f054fce6b58e36beff9bd5eb7aa0c4bb61eef165392d1,Ronya,Hyperventilating,27
abf6b9ed5821c1effd3f5871d71ed7ffb9caa61945fc06bed6bb3811d25cd24d,1dd16419760cb1e34d5e13b5d9b2c2bdc906c4ec2fe564cefccf5475b415ad69,"Pink & Nate Ruess","Just give me a reason",195
30dc3c26d2d99c7fc01dec17a49b44b0d73681704bfffb64cd94e923065625cb,f9373af7c85452685292ff32822042233642d2c1af7bb440c6ffe4ca2826dbef,"Carly Rae Jepsen","Tonight i am getting over you",77
991c3c0063eec2835192fb1927b7405e1d0eca0f8f4a5f376a0d2430a2bb069a,c75ecead492584657c6e4557430ff4e54ba35947f156130a9627d229ee56d568,"Frank Turner",Recovery,43
9933fc9dcaba2be6cfb2710f10d4cbea0c5e73f2110caa76a1180a3a427e07fd,95fb1e05dbabd20a4ea5440cdc0ea6d46cbbd26dcf54da9782f4240c68712b02,Him,"Killing loneliness",27
30630e1e5a7ffe79ced7d5e626cdf5508f5372355f99546f642aaa7e470bb091,f9bc9df863738e5524aecec3483b3787fbb6a9af6913f3e3180ba918ad05c882,"Mange Schmidt",Ledig,74
418f1610bb7063a95f6ede16bab06ff979dbd8bf624db80f47838f4cb9bea041,e9367105099b68cd7af58eb53bf6e33f27fd16dce83b21f44b048cddf773b6a2,"Daft Punk & Pharrell Williams","Get lucky",272
bc13f276f7c9ee45be29e5debc120d1956277635be1668786143fabbd1b4743a,2b37d69d7b5cb4c1e7b3cc04dc2f41936b15f6ad04e93393f1b7343e98941f64,"Katy Perry","Hot 'n cold",66
fdca42f6ba06c72d6e42763d462a8148aac9bf1c90596e5bf649f6275b0a4968,9d489f6bf8a77534b544e3c0722018fe028342dbbdc2553e6caf24687c0a9bfe,"Macklemore & Ryan Lewis & Ray Dalton","Can't hold us",258
c148145d99ed129e01f10047086382d5d5b086eba7f1367364853b632554bd35,24dfb68b43c6ddb4ce7f9eaf4f4ae2f45b8337c78a3e47073bab1b3c44602034,Newkid,"Jag gråter bara i regnet",84
993256f3181498f68a6580a0a6d65e65a1afb8b97e0cd1223978d85a9036a540,d3de273e337b15a3ffa5ff76372eb8108c0dca2ded66ea8dfd507800b033f7bb,"Leona Lewis","Bleeding love",92
